Date : 2025-04-25 11:16:38
Directory : c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src
Total : 1189 files,  759776 codes, 226233 comments, 116295 blanks, all 1102304 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\NN\NN_Lib_Tests\nn_test\RTE\Device\ARMCM4_FP\system_ARMCM4.c                                    | C                |         32 |         38 |         14 |         84 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\NN\NN_Lib_Tests\nn_test\RTE\Device\ARMCM7_SP\startup_ARMCM7.c                                   | C                |        159 |        103 |         34 |        296 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\NN\NN_Lib_Tests\nn_test\RTE\Device\ARMCM7_SP\startup_ARMCM7.s                                   | arm-debugger.arm |        221 |          0 |         42 |        263 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\NN\NN_Lib_Tests\nn_test\RTE\Device\ARMCM7_SP\system_ARMCM7.c                                    | C                |         34 |         38 |         14 |         86 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\NN\NN_Lib_Tests\nn_test\RTE\Device\STM32F411RETx\startup_stm32f411xe.s                          | arm-debugger.arm |        360 |          0 |         36 |        396 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\NN\NN_Lib_Tests\nn_test\RTE\Device\STM32F411RETx\system_stm32f4xx.c                             | C                |        340 |        337 |         87 |        764 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\NN\NN_Lib_Tests\nn_test\RTE\_ARMCM0\RTE_Components.h                                            | C++              |          4 |         10 |          7 |         21 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\NN\NN_Lib_Tests\nn_test\RTE\_ARMCM3\RTE_Components.h                                            | C++              |         10 |         10 |          7 |         27 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\NN\NN_Lib_Tests\nn_test\RTE\_ARMCM4_FP\RTE_Components.h                                         | C++              |         10 |         10 |          7 |         27 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\NN\NN_Lib_Tests\nn_test\RTE\_ARMCM7_SP\RTE_Components.h                                         | C++              |         10 |         10 |          7 |         27 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\NN\NN_Lib_Tests\nn_test\Ref_Implementations\arm_convolve_HWC_q15_ref.c                          | C                |         51 |         17 |          4 |         72 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\NN\NN_Lib_Tests\nn_test\Ref_Implementations\arm_convolve_HWC_q15_ref_nonsquare.c                | C                |         60 |         17 |          7 |         84 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\NN\NN_Lib_Tests\nn_test\Ref_Implementations\arm_convolve_HWC_q7_ref.c                           | C                |         51 |         18 |          4 |         73 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\NN\NN_Lib_Tests\nn_test\Ref_Implementations\arm_convolve_HWC_q7_ref_nonsquare.c                 | C                |         57 |         18 |          4 |         79 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\NN\NN_Lib_Tests\nn_test\Ref_Implementations\arm_depthwise_separable_conv_HWC_q7_ref.c           | C                |         50 |         18 |          3 |         71 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\NN\NN_Lib_Tests\nn_test\Ref_Implementations\arm_depthwise_separable_conv_HWC_q7_ref_nonsquare.c | C                |         55 |         18 |          3 |         76 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\NN\NN_Lib_Tests\nn_test\Ref_Implementations\arm_fully_connected_mat_q7_vec_q15_opt_ref.c        | C                |         87 |         17 |         17 |        121 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\NN\NN_Lib_Tests\nn_test\Ref_Implementations\arm_fully_connected_mat_q7_vec_q15_ref.c            | C                |         24 |         17 |          3 |         44 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\NN\NN_Lib_Tests\nn_test\Ref_Implementations\arm_fully_connected_q15_opt_ref.c                   | C                |         87 |         17 |         16 |        120 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\NN\NN_Lib_Tests\nn_test\Ref_Implementations\arm_fully_connected_q15_ref.c                       | C                |         24 |         17 |          3 |         44 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\NN\NN_Lib_Tests\nn_test\Ref_Implementations\arm_fully_connected_q7_opt_ref.c                    | C                |        101 |         17 |         21 |        139 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\NN\NN_Lib_Tests\nn_test\Ref_Implementations\arm_fully_connected_q7_ref.c                        | C                |         24 |         17 |          3 |         44 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\NN\NN_Lib_Tests\nn_test\Ref_Implementations\arm_nn_mult_ref.c                                   | C                |         34 |         17 |          8 |         59 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\NN\NN_Lib_Tests\nn_test\Ref_Implementations\arm_pool_ref.c                                      | C                |         74 |         17 |          6 |         97 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\NN\NN_Lib_Tests\nn_test\Ref_Implementations\arm_relu_ref.c                                      | C                |         20 |         17 |          6 |         43 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\NN\NN_Lib_Tests\nn_test\Ref_Implementations\fully_connected_testing_weights.h                   | C++              |          4 |          0 |          4 |          8 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\NN\NN_Lib_Tests\nn_test\Ref_Implementations\ref_functions.h                                     | C++              |        187 |         38 |         26 |        251 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\NN\NN_Lib_Tests\nn_test\arm_nnexamples_nn_test.cpp                                              | C++              |        526 |         55 |        221 |        802 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\NN\NN_Lib_Tests\nn_test\arm_nnexamples_nn_test.h                                                | C++              |         59 |          0 |         20 |         79 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\NN\Source\ActivationFunctions\arm_nn_activations_q15.c                                          | C                |         34 |         55 |         13 |        102 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\NN\Source\ActivationFunctions\arm_nn_activations_q7.c                                           | C                |         30 |         54 |          8 |         92 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\NN\Source\ActivationFunctions\arm_relu_q15.c                                                    | C                |         36 |         53 |         18 |        107 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\NN\Source\ActivationFunctions\arm_relu_q7.c                                                     | C                |         38 |         53 |         20 |        111 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\NN\Source\ConvolutionFunctions\arm_convolve_1x1_HWC_q7_fast_nonsquare.c                         | C                |        118 |         89 |         29 |        236 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\NN\Source\ConvolutionFunctions\arm_convolve_HWC_q15_basic.c                                     | C                |        112 |         76 |         20 |        208 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\NN\Source\ConvolutionFunctions\arm_convolve_HWC_q15_fast.c                                      | C                |        137 |         90 |         29 |        256 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\NN\Source\ConvolutionFunctions\arm_convolve_HWC_q15_fast_nonsquare.c                            | C                |        142 |         95 |         29 |        266 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\NN\Source\ConvolutionFunctions\arm_convolve_HWC_q7_RGB.c                                        | C                |        137 |        115 |         28 |        280 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\NN\Source\ConvolutionFunctions\arm_convolve_HWC_q7_basic.c                                      | C                |        120 |         86 |         25 |        231 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\NN\Source\ConvolutionFunctions\arm_convolve_HWC_q7_basic_nonsquare.c                            | C                |        124 |         80 |         25 |        229 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\NN\Source\ConvolutionFunctions\arm_convolve_HWC_q7_fast.c                                       | C                |        248 |        122 |         39 |        409 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\NN\Source\ConvolutionFunctions\arm_convolve_HWC_q7_fast_nonsquare.c                             | C                |        236 |        105 |         39 |        380 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\NN\Source\ConvolutionFunctions\arm_depthwise_conv_u8_basic_ver1.c                               | C                |        128 |         84 |         28 |        240 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\NN\Source\ConvolutionFunctions\arm_depthwise_separable_conv_HWC_q7.c                            | C                |        283 |         95 |         41 |        419 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\NN\Source\ConvolutionFunctions\arm_depthwise_separable_conv_HWC_q7_nonsquare.c                  | C                |        280 |         91 |         41 |        412 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\NN\Source\ConvolutionFunctions\arm_nn_mat_mult_kernel_q7_q15.c                                  | C                |        104 |         56 |         28 |        188 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\NN\Source\ConvolutionFunctions\arm_nn_mat_mult_kernel_q7_q15_reordered.c                        | C                |         68 |         52 |         19 |        139 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\NN\Source\FullyConnectedFunctions\arm_fully_connected_mat_q7_vec_q15.c                          | C                |         96 |         68 |         36 |        200 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\NN\Source\FullyConnectedFunctions\arm_fully_connected_mat_q7_vec_q15_opt.c                      | C                |        220 |        124 |         60 |        404 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\NN\Source\FullyConnectedFunctions\arm_fully_connected_q15.c                                     | C                |         95 |         65 |         34 |        194 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\NN\Source\FullyConnectedFunctions\arm_fully_connected_q15_opt.c                                 | C                |        177 |        104 |         52 |        333 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\NN\Source\FullyConnectedFunctions\arm_fully_connected_q7.c                                      | C                |         94 |         68 |         37 |        199 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\NN\Source\FullyConnectedFunctions\arm_fully_connected_q7_opt.c                                  | C                |        286 |        136 |         63 |        485 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\NN\Source\NNSupportFunctions\arm_nn_mult_q15.c                                                  | C                |         47 |         71 |         30 |        148 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\NN\Source\NNSupportFunctions\arm_nn_mult_q7.c                                                   | C                |         31 |         67 |         22 |        120 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\NN\Source\NNSupportFunctions\arm_nntables.c                                                     | C                |        225 |         61 |         12 |        298 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\NN\Source\NNSupportFunctions\arm_q7_to_q15_no_shift.c                                           | C                |         36 |         70 |         29 |        135 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\NN\Source\NNSupportFunctions\arm_q7_to_q15_reordered_no_shift.c                                 | C                |         33 |         89 |         24 |        146 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\NN\Source\PoolingFunctions\arm_pool_q7_HWC.c                                                    | C                |        276 |        122 |         63 |        461 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\NN\Source\SoftmaxFunctions\arm_softmax_q15.c                                                    | C                |         40 |         67 |         14 |        121 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\NN\Source\SoftmaxFunctions\arm_softmax_q7.c                                                     | C                |         38 |         70 |         14 |        122 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\RTOS2\Include\cmsis_os2.h                                                                       | C++              |        275 |        341 |        141 |        757 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\RTOS2\Include\os_tick.h                                                                         | C++              |         18 |         40 |         14 |         72 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\RTOS2\Source\os_systick.c                                                                       | C                |         72 |         35 |         26 |        133 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\RTOS2\Source\os_tick_gtim.c                                                                     | C                |         94 |         54 |         40 |        188 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\RTOS2\Source\os_tick_ptim.c                                                                     | C                |         82 |         48 |         36 |        166 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\RTOS2\Template\cmsis_os.h                                                                       | C++              |        407 |        390 |        126 |        923 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\RTOS2\Template\cmsis_os1.c                                                                      | C                |        256 |         33 |         73 |        362 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\CMSIS\RTOS\Template\cmsis_os.h                                                                        | C++              |        228 |        347 |        124 |        699 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\STM32L4xx_HAL_Driver\Inc\Legacy\stm32_hal_legacy.h                                                    | C++              |      3,305 |        616 |        454 |      4,375 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\STM32L4xx_HAL_Driver\Inc\Legacy\stm32l4xx_hal_can_legacy.h                                            | C++              |        247 |        372 |        131 |        750 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\STM32L4xx_HAL_Driver\Inc\stm32_assert_template.h                                                      | C++              |         15 |         33 |          6 |         54 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\STM32L4xx_HAL_Driver\Inc\stm32l4xx_hal.h                                                              | C                |        331 |        274 |        122 |        727 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\STM32L4xx_HAL_Driver\Inc\stm32l4xx_hal_adc.h                                                          | C++              |        522 |      1,326 |        170 |      2,018 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\STM32L4xx_HAL_Driver\Inc\stm32l4xx_hal_adc_ex.h                                                       | C++              |        587 |        716 |        121 |      1,424 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\STM32L4xx_HAL_Driver\Inc\stm32l4xx_hal_can.h                                                          | C++              |        356 |        377 |        127 |        860 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\STM32L4xx_HAL_Driver\Inc\stm32l4xx_hal_comp.h                                                         | C++              |        326 |        391 |        107 |        824 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\STM32L4xx_HAL_Driver\Inc\stm32l4xx_hal_conf_template.h                                                | C++              |        290 |        110 |         77 |        477 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\STM32L4xx_HAL_Driver\Inc\stm32l4xx_hal_cortex.h                                                       | C++              |        186 |        181 |         56 |        423 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\STM32L4xx_HAL_Driver\Inc\stm32l4xx_hal_crc.h                                                          | C++              |         78 |        213 |         52 |        343 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\STM32L4xx_HAL_Driver\Inc\stm32l4xx_hal_crc_ex.h                                                       | C++              |         28 |         95 |         28 |        151 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\STM32L4xx_HAL_Driver\Inc\stm32l4xx_hal_cryp.h                                                         | C++              |        238 |        368 |        128 |        734 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\STM32L4xx_HAL_Driver\Inc\stm32l4xx_hal_cryp_ex.h                                                      | C++              |         29 |         68 |         29 |        126 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\STM32L4xx_HAL_Driver\Inc\stm32l4xx_hal_dac.h                                                          | C++              |        223 |        276 |        113 |        612 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\STM32L4xx_HAL_Driver\Inc\stm32l4xx_hal_dac_ex.h                                                       | C++              |        143 |         95 |         51 |        289 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\STM32L4xx_HAL_Driver\Inc\stm32l4xx_hal_dcmi.h                                                         | C++              |        223 |        340 |        122 |        685 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\STM32L4xx_HAL_Driver\Inc\stm32l4xx_hal_def.h                                                          | C++              |        108 |         75 |         29 |        212 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\STM32L4xx_HAL_Driver\Inc\stm32l4xx_hal_dfsdm.h                                                        | C++              |        491 |        329 |         75 |        895 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\STM32L4xx_HAL_Driver\Inc\stm32l4xx_hal_dfsdm_ex.h                                                     | C++              |         16 |         54 |         22 |         92 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\STM32L4xx_HAL_Driver\Inc\stm32l4xx_hal_dma.h                                                          | C++              |        433 |        275 |        154 |        862 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\STM32L4xx_HAL_Driver\Inc\stm32l4xx_hal_dma2d.h                                                        | C++              |        263 |        342 |        115 |        720 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\STM32L4xx_HAL_Driver\Inc\stm32l4xx_hal_dma_ex.h                                                       | C++              |        111 |        114 |         60 |        285 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\STM32L4xx_HAL_Driver\Inc\stm32l4xx_hal_dsi.h                                                          | C++              |        583 |        611 |        184 |      1,378 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\STM32L4xx_HAL_Driver\Inc\stm32l4xx_hal_exti.h                                                         | C++              |        616 |        145 |         98 |        859 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\STM32L4xx_HAL_Driver\Inc\stm32l4xx_hal_firewall.h                                                     | C++              |        100 |        193 |         59 |        352 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\STM32L4xx_HAL_Driver\Inc\stm32l4xx_hal_flash.h                                                        | C++              |        430 |        484 |        115 |      1,029 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\STM32L4xx_HAL_Driver\Inc\stm32l4xx_hal_flash_ex.h                                                     | C++              |         26 |         79 |         21 |        126 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\STM32L4xx_HAL_Driver\Inc\stm32l4xx_hal_flash_ramfunc.h                                                | C++              |         15 |         46 |         14 |         75 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\STM32L4xx_HAL_Driver\Inc\stm32l4xx_hal_gfxmmu.h                                                       | C++              |        130 |        155 |         49 |        334 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\STM32L4xx_HAL_Driver\Inc\stm32l4xx_hal_gpio.h                                                         | C++              |        116 |        161 |         47 |        324 |
| c:\Users\mrpat\OneDrive\Documents\ECE3130\Hardware\ece3130_project\src\STM32CubeMX\Target_1\STM32CubeMX\Drivers\STM32L4xx_HAL_Driver\Inc\stm32l4xx_hal_gpio_ex.h                                                      | C++              |        498 |        397 |        166 |      1,061 |
